restaurant;in;address1;address2;address3;neighborhood;phone;type
Surf City Squeeze;;266 Bleecker St;between Sixth and Seventh Aves;;West Village;(212-627-2431);American
Surya;;302 Bleecker St;between Seventh Ave South and Grove St;;West Village;(212-807-7770);Indian
Sushi A-Go-Go;;1900 Broadway;between 63rd and 64th Sts;;Upper West Side;(212-724-7340);Japanese
Sushi Azabu;;428 Greenwich St;between Laightand Vestry Sts;;Tribeca;(212-274-0428);Japanese
Sushi Hana;;1501 Second Ave;at 78th St;;Upper East Side;(212-327-0582);Japanese
Sushi Masa;;141 E 47th St;between Lexington and Third Aves;;Midtown East;(212-715-0837);Japanese
Sushi Samba;;245 Park Ave South;between 19th and 20th Sts;;Gramercy/Flatiron;(212-475-9377);Japanese
Sushi Samba 7;;87 Seventh Ave South;at Barrow St;;West Village;(212-691-7885);Japanese
Sushi Seki;;1143 First Ave;between 62nd and 63rd Sts;;Upper East Side;(212-371-0238);Japanese
Sushi Sen-Nin;;1420 Third Ave;between 80th and 81st Sts;;Upper East Side;(212-889-2208);Japanese
Sushi Sen-Nin;;49 E 34th St;between Madison and Park Aves;;Midtown East;(212-889-2208);Japanese
Sushi Yasuda;;204 E 43rd St;between Second and Third Aves;;Midtown East;(212-972-1001);Japanese
Sushi Yawa;;25 W 8th St;at MacDougal St;;Greenwich Village;(212-253-9888);Japanese
Sushi Zen;;108 W 44th St;between Sixth Ave and Broadway;;Midtown West;(212-302-0707);Japanese
Sushi of Gari;;402 E 78th St;between First and York Aves;;Upper East Side;(212-517-5340);Japanese
Sushi of Gari 46;;347 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-957-0046);Japanese
SushiAnn;;38 E 51st St;between Madison and Park Aves;;Midtown East;(212-755-1780);Japanese
Sushiden;;19 E 49th St;between Fifth and Madison Aves;;Midtown East;(212-758-2700);Japanese
Sushiden;;123 W 49th St;between Sixth and Seventh Aves;;Midtown West;(212-398-2800);Japanese
Svenningsen’s;;292 Fifth Ave;between 30th and 31st Sts;;Midtown East;(212-465-1888);Seafood
Sweet Emily’s;321 W 51st St;;;;;;
Sweet Revenge;;62 Carmine St;between Bedford St and Seventh Ave;;West Village;(212-242-2240);American
Sweet-n-Tart Cafe (CLOSED);;76 Mott St;at Canal St;;Chinatown/Little Italy;(212-334-8088);Chinese
Sweetiepie;;19 Greenwich Ave;at 10th St;;West Village;(212-337-3333);American
Swifty’s;;1007 Lexington Ave;between 72nd and 73rd Sts;;Upper East Side;(212-535-6000);American
Swish;;88 W 3rd St;between Sullivan and Thompson Sts;;Greenwich Village;(212-777-8808);Japanese
Swizz Restaurant & Wine Bar;;310 W 53rd St;between Eighth and Ninth Aves;;Midtown West;(212-810-4444);Eclectic
Sylvia’s;;328 Malcolm X Blvd (Lenox Ave);between 126th and 127th Sts;;Harlem;(212-996-0660);American Regional
Symposium;;544 W 113th St;between Amsterdam Ave and Broadway;;Upper West Side;(212-865-1011);Greek
Szechuan Gourmet;;21 West 39th St;between Fifth and Sixth Ave;;Midtown West;(212-921-0233);Chinese
S’Mac;;345 E 12th St;between First and Second Aves;;East Village;(212-358-7912);American
T Salon;Chelsea Market;;459 W 15th St;between Ninth and Tenth Aves;Chelsea;(212-243-2259);Cafés & diners
T Salon & T Emporium;;11 E 20th St;between Fifth Ave and Broadway;;Gramercy/Flatiron;(212-358-0506);Cafés & diners
T-Bar Steak & Lounge;;1278 Third Ave;between 73rd and 74th Sts;;Upper East Side;(212-772-0404);Steakhouses
TOM: Tuesday Dinner;;47 E 19th St;between Broadway and Park Ave;;Gramercy/Flatiron;(212-400-6495);American Creative
Taam Tov;41 W 47th St;;between Fifth and Sixth Aves;second floor;Midtown West;(212-768-8001);Kosher
Tabla;;11 Madison Ave;at 25th St;;Gramercy/Flatiron;(212-889-0667);Indian
Tabla Bread Bar;;11 Madison Ave;at 25th St;;Gramercy/Flatiron;(212-889-0667);Indian
Tabla Street Cart;;11 Madison Ave;at 25th St;;Gramercy/Flatiron;(no phone);Indian
Table d’Hôte;;44 E 92nd St;between Madison and Park Aves;;Upper East Side;(212-348-8125);French
Taboon;;773 Tenth Ave;at 52nd St;;Midtown West;(212-713-0271);Middle Eastern
Taco Taco;;1726 Second Ave;between 89th and 90th Sts;;Upper East Side;(212-289-8226);Mexican
Tadka;;229 E. 53rd St;between Second and Third Aves;;Midtown East;(212-355-9660);Indian
Tafu;;569 Lexington Ave;at 51st St;;Midtown East;(212-980-1310);Cafés & diners
Tagine Dining Gallery;;537 Ninth Ave;between 39th and 40th Sts;;Midtown West;(212-564-7292);Moroccan
Tai;;223 Mulberry St;between Prince and Spring Sts;;Chinatown/Little Italy;(212-965-0439);Thai
Tailor;;525 Broome St;between Thompson and Sullivan Sts;;Soho;(212-334-5182);Cafés & diners
Taj;;48 W 21st St;between Fifth and Sixth Aves;;Chelsea;(212-620-3033);Indian
Taj Mahal;;318 E 6th St;between First and Second Aves;;East Village;(212-529-2217);Indian
Taja;;1425 Second Ave;between 74th and 75th Sts;;Upper East Side;(212-734-9940);Moroccan
Takahachi;;85 Ave A;between 5th and 6th Sts;;East Village;(212-505-6524);Japanese
Takahachi Tribeca;;145 Duane St;between Church St and West Broadway;;Tribeca;(212-571-1830);Japanese
Taksim;;99 Second Ave;between 5th and 6th Sts;;East Village;(212-979-5400);Turkish
Talay;;701 W 135th St;at Twelfth Ave;;Harlem;(212-491-8300);Asian: Pan-Asian
Talia’s Steakhouse & Bar;;668 Amsterdam Ave;between 92nd and 93rd Sts;;Upper West Side;(212-580-3770);Kosher
Tamarind;;424 Amsterdam Ave;between 80th and 81st Sts;;Upper West Side;(212-712-1900);Indian
Tamarind;;41 E 22nd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-674-7400);Indian
Tamarind Tea Room;;43 E 22nd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-674-7400);Indian
Tang Pavilion;;65 W 55th St;between Fifth and Sixth Aves;;Midtown West;(212-956-6888);Chinese
Tanti Baci Caffè;;163 W 10th St;between Waverly Pl and Seventh Ave South;;West Village;(212-647-9651);Italian
Tanti Baci Flower Room;;135 Seventh Ave South;between Charles and W 10th Sts;;West Village;(212-727-8333);Italian
Tao;;42 E 58th St;between Madison and Park Aves;;Midtown East;(212-888-2288);Asian: Pan-Asian
Tapeo 29;;29 Clinton St;at Stanton St;;Lower East Side;(212-979-0002);Spanish
Taperia Madrid;;1471 Second Ave;between 76th and 77th Sts;;Upper East Side;(212-794-2923);Spanish
Taqueria California;;3151 Broadway;between LaSalle St and Tiemann Pl;;Columbia University–City College;(212-665-7338);Mexican
Tarabia (CLOSED);;1071 First Ave;between 58th and 59th Sts;;Midtown East;(212-888-0809);Turkish
Tarallucci e Vino;;15 E 18th St;between Fifth Ave and Broadway;;Gramercy/Flatiron;(212-228-5400);Cafés
Tarallucci e Vino;163 First Ave;;;;;;
Tartine;;253 W 11th St;at 4th St;;West Village;(212-229-2611);French
Tasca (CLOSED);;130 Seventh Avenue South;at W 10th St;;West Village;(212-620-6815);Spanish
Taste;;1413 Third Ave;at 80th St;;Upper East Side;(212-717-9798);American
Taste Good II;;53 Bayard St;between Bowery and Elizabeth St;;Chinatown/Little Italy;(212-513-0818);Asian: Malaysian
Tatany 52;;250 E 52nd St;between Second and Third Aves;;Midtown East;(212-593-0203);Japanese
Tavern on the Green;;Central Park West;at 67th St;;Upper West Side;(212-873-3200);American
Taïm;;222 Waverly Pl;at W 11th St and Seventh Ave;;West Village;(212-691-1287);Middle Eastern
Tea & Sympathy;;108–110 Greenwich Ave;between 12th and 13th Sts;;West Village;(212-989-9735);British & Irish
Teany;;90 Rivington St;between Ludlow and Orchard Sts;;Lower East Side;(212-475-9190);Cafés
Tebaya;;144 W 19th St;between Sixth and Seventh Aves;;Chelsea;(212-924-3335);Japanese
Ted’s Montana Grill;;110 W 51st St;between Sixth and Seventh Aves;;Midtown West;(212-245-5220);American
Tehuitzingo Deli and Grocery;;695 Tenth Ave;between 47th and 48th Sts;;Midtown West;(212-397-5956);Mexican
Tehuitzingo Deli and Grocery;;You won’t need Spanish skills to gobble down $2 carnitas (pork seasoned with garlic;;;thyme and oregano and cooked in lard) and garlicky;lime-marinated beef...;Mexican
Telepan;;72 W 69th St;at Columbus Ave;;Upper West Side;(212-580-4300);American
Telephone Bar & Grill;;149 Second Ave;between 9th and 10th Sts;;East Village;(212-529-5000);American
Tello’s;;263 W 19th St;between Seventh and Eighth Aves;;Chelsea;(212-691-8696);Italian
Temple;;81 St. Marks Pl;at First Ave;;East Village;(212-979-9300);Korean
Tenement;;157 Ludlow St;between Rivington and Stanton Sts;;Lower East Side;(212-598-2130);Eclectic
Teodora;;141 E 57th St;between Lexington and Third Aves;;Midtown East;(212-826-7101);Italian
Terra Cafe;;7 Henshaw St;between Dyckman Ave and Riverside Dr;;Washington Heights;(212-567-6500);Latin American
Terrace in the Sky;;400 W 119th St;between Morningside Dr and Amsterdam Ave;;Columbia University–City College;(212-666-9490);French
Terroir;;413 E 12th St;between First Ave and Ave A;;East Village;(no phone);Eclectic
Tet;;83 Ave A;between 5th and 6th Sts;;East Village;(212-253-0800);Vietnamese
Texas Smokehouse BBQ and Bourbon Bar;;637 Second Ave;between 34th and 35th Sts;;Midtown East;(212-679-0868);Barbeque
Thai House Cafe;;151 Hudson St;at Hubert St;;Tribeca;(212-334-1085);Thai
Thai Select;;472 Ninth Ave;between 36th and 37th Sts;;Midtown West;(212-695-9920);Thai
Thai Son Restaurant;;89 Baxter St;between Bayard and Canal Sts;;Chinatown/Little Italy;(212-732-2822);Vietnamese
Thai on Clinton;;6 Clinton St;between Houston and Stanton Sts;;Lower East Side;(212-228-9388);Thai
Thalassa;;179 Franklin St;between Hudson and Greenwich Sts;;Tribeca;(212-941-7661);Greek
Thalia;;828 Eighth Ave;at 50th St;;Midtown West;(212-399-4444);American
The Basil (CLOSED);;206 W 23rd St;between Seventh and Eighth Aves;;Chelsea;(212-242-1014);Thai
The Bean;;446 Sixth Ave;between 10th and 11th Sts;;Greenwich Village;(212-777-0402);Cafés
The Bean Café;;118 Orchard St;at Delancey St;;Lower East Side;(212-253-2075);Cafés
The Bourgeois Pig;;111 E 7th St;between First Ave and Ave A;;East Village;(212-475-2246);Cafés & diners
The Bourgeois Pig West;;124 MacDougal St;between W 3rd and Bleecker Sts;;Greenwich Village;(212-254-0575);Cafés & diners
The Burger Joint;;241 Third Ave;at 20th St;;Gramercy/Flatiron;(212-228-1219);American
The Burger Joint (CLOSED);;190 Bleecker St near MacDougal St;;;Greenwich Village;(212-254-2380);American
The Carlyle Restaurant;;35 E 76th St;at Madison Ave;;Upper East Side;(212-744-1600);French
The Cottage;;33 Irving Pl;between 15th and 16th Sts;;Gramercy/Flatiron;(212-505-8600);Chinese
The Cottage;;1034 Amsterdam Ave;at 111th St;;Upper West Side;(212-662-1800);Chinese
The Cottage;;360 Amsterdam Ave;at 77th St;;Upper West Side;(212-595-7450);Chinese
The Cottage;;796 Amsterdam Ave;at 99th St;;Upper West Side;(212-316-2600);Chinese
The Cupping Room Café;;359 West Broadway;between Broome and Grand Sts;;Soho;(212-925-2898);American
The Diner;;44 Ninth Ave;at 14th St;;Meatpacking District;(212-627-2230);American
The E.U.;;235 E 4th St;between Aves A and B;;East Village;(212-254-2900);Eclectic
The E.U. (CLOSED);235 E 4th St;;;;;;
The Ear Inn;;326 Spring St;between Greenwich and Wash-ington Sts;;Soho;(212-226-9060);American
The Elephant;;58 E 1st St;between First and Second Aves;;East Village;(212-505-7739);Thai
The Four Seasons Restaurant;;99 E 52nd St;between Park and Lexington Aves;;Midtown East;(212-754-9494);American Creative
The Gallery;SoHo Grand Hotel;;310 West Broadway;between Canal and Grand Sts;Soho;(212-965-3000);American
The Gamut;;102 E 25th St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-598-4555);American
The Grand Tier;Lincoln Center;;132 W 65th St;between Amsterdam and ColumbusAves;Upper West Side;(212-799-3400);American
The Great Burrito;;405 Amsterdam Ave;at 79th St;;Upper West Side;(212-724-5151);Mexican
The Green Room at Spiegeltent;;Pier 17;at Fulton St;;Financial District;(212-730-0160);American
The Green Room at Spiegeltent;...;;;;;;
The Green Table;Chelsea Market;;75 Ninth Ave;at 16th St;Chelsea;(212-741-9174);Vegetarian & Organic
The Grey Dog’s Coffee;;33 Carmine St;between Bedford and Bleecker Sts;;West Village;(212-462-0041);Cafés & diners
The Half King;;505 W 23rd St;between Tenth and Eleventh Aves;;Chelsea;(212-462-4300);American
The Harrison;;355 Greenwich St;at Harrison St;;Tribeca;(212-274-9310);American
The Heights Bar & Grill;2867 Broadway;;between 111th and 112th Sts;second floor;Upper West Side;(212-866-7035);American
The Hideaway;;185 Duane St near Greenwich St;;;Tribeca;(212-334-5775);American Creative
The House;;121 E 17th St;between Park Ave South and Irving Pl;;Gramercy/Flatiron;(212-353-2121);Eclectic
The Inn LW12;;7 Ninth Ave;at Little W 12th St;;Meatpacking District;(212-206-0300);Eclectic
The Jamaican Dutchy;;W 51st St;at Seventh Ave;;Midtown West;;Caribbean: Jamaican
The John Dory;;85 Tenth Ave;between 15th and 16th Sts;;Chelsea;(212-929-4948);British & Irish
The Kati Roll;;99 MacDougal St;between Bleecker and W 3rd Sts;;Greenwich Village;(212-420-6517);Indian
The Kitchen Club;;30 Prince St;at Mott St;;Chinatown/Little Italy;(212-274-0025);Eclectic
The Libertine;;15 Gold St;at Platt St;;Financial District;(212-785-5950);American
The Little Bigger Place;;61 Warren St;at West Broadway;;Financial District;(212-528-3175);Mexican
The Little Owl;;90 Bedford St;at Grove St;;West Village;(212-741-4695);Mediterranean
The Mad Hatter Saloon;;360 Third Ave;between 26th and 27th Sts;;Gramercy/Flatiron;(212-696-2122);British & Irish
The Mambo Lounge;;323–327 W 44th St;between Eighth and Ninth Aves;;Midtown West;(212-262-1111);Latin American
The Manhattan Ocean Club (CLOSED);;57 W 58th St;between Fifth and Sixth Aves;;Midtown West;(212-371-7777);Seafood
The Mercer Kitchen;The Mercer;;99 Prince St;at Mercer St;Soho;(212-966-5454);American Creative
The Mermaid Inn;;96 Second Ave;between 5th and 6th Sts;;East Village;(212-674-5870);Seafood
The Mermaid Inn;;568 Amsterdam Ave;at 88th St;;Upper West Side;(212-799-7400);Seafood
The Modern;;9 W 53rd St;between Fifth and Sixth Aves;;Midtown West;(212-333-1220);American Creative
The Morgan Dining Room;;225 Madison Ave;at 36th St;;Midtown East;(212-683-2130);American
The New French;;522 Hudson St;at 10th St;;West Village;(212-807-7357);Eclectic
The Noho Star;;330 Lafayette St;at Bleecker St;;East Village;(212-925-0070);American
The Oak Room;;;;;;;American
The Oak Room;;10 Central Park South;at Fifth Ave;;Midtown West;(212-758-7777);American
The Odeon;;145 West Broadway;at Thomas St;;Tribeca;(212-233-0507);French
The Odeon Ice Cream Cart;;145 West Broadway;between Duane and Thomas Sts;;Tribeca;(no phone);Cafés & diners
The Orchard;;162 Orchard;between Rivington and Stanton Sts;;Lower East Side;(212-353-3570);Italian
The Organic Grill;;123 First Ave;between St. Marks Pl and E 7th St;;East Village;(212-477-7177);Vegetarian & Organic
The Palm;;837 Second Ave;between 44th and 45th Sts;;Midtown East;(212-687-2953);Steakhouses
The Palm Court (CLOSED);The Plaza Hotel;;768 Fifth Ave;at Central Park South;Midtown West;(212-759-3000);French
The Palm Too;;840 Second Ave;between 44th and 45th Sts;;Midtown East;(212-697-5198);Steakhouses
The Palm Tribeca;;206 West St;between Chambers and Warren Sts;;Tribeca;(646-395-6393);Steakhouses
The Palm West;;250 W 50th St;between Broadway and Eighth Ave;;Midtown West;(212-333-7256);Steakhouses
The Park;;118 10th Ave;at 18th St;;Chelsea;(212-352-3313);American
The Park Room;The Helmsley Park Lane Hotel;;36 Central Park South;between Fifth and Sixth Aves;second floor;Midtown West;(212-521-6655)
The Pink Tea Cup;;42 Grove St;between Bedford and Bleecker Sts;;West Village;(212-807-6755);American Regional
The Place;;310 W 4th St;between Bank and W 12th Sts;;West Village;(212-924-2711);Mediterranean
The Prime Grill;;60 E 49th St;between Madison and Park Aves;;Midtown East;(212-692-9292);Kosher
The Red Cat;;227 Tenth Ave;between 23rd and 24th Sts;;Chelsea;(212-242-1122);American
The Redhead;;349 E 13th St;between First and Second Aves;;East Village;(212-533-6212);American
The River Room (formerly Earl Monroe’s);;145th St;in Riverside Drive;;Columbia University–City College;(212-491-1500);American Creative
The Russian Tea Room;;150 W 57th St;between Sixth and Seventh Aves;;Midtown West;(212-581-7100);Russian
The Sea Grill;;19 W 49th St;at Rockefeller Plaza;;Midtown West;(212-332-7610);Seafood
The Shark Bar Restaurant;;307 Amsterdam Ave;between 74th and 75th Sts;;Upper West Side;(212-874-8500);American Regional
The Sheep Meadow Cafe;;Entrance on Central Park West;at 69th St;;Upper West Side;(212-396-4100);American
The Shoreham Restaurant and Bar;;33 W 55th St;between Fifth and Sixth Aves;;Midtown West;(212-247-6700);American Creative
The Smith;;55 Third Ave;between 10th and 11th Sts;;East Village;(212-420-9800);American
The Soda Shop;;125 Chambers St;at West Broadway;;Tribeca;(212-571-1100);Cafés & diners
The Spotted Pig;;314 W 11th St;at Greenwich St;;West Village;(212-620-0393);Eclectic
The Stanton Social;;99 Stanton St;at Ludlow St;;Lower East Side;(212-995-0099);Eclectic
The Sunburnt Cow;;137 Ave C;between 8th and 9th Sts;;East Village;(212-529-0005);Australian & New Zealand
The Tasting Room (CLOSED);;264 Elizabeth St;between Houston and Prince Sts;;Chinatown/Little Italy;(212-358-7831);American Creative
The Tea Box Restaurant at Takashimaya NY;;693 Fifth Ave;between 54th and 55th Sts;;Midtown East;(212-350-0180);Cafés & diners
The Townhouse;;206 E 58th St;between Second and Third Aves;;Midtown East;(212-826-6241);American
The Valrhona Boutique;"Mon–Sat 9am–9pm; Sun 9am–7pm";;;;;;
The Valrhona Boutique;Food Emporium Fine Chocolates Shop;;Trump Palace;1175 Third Ave;at 68th St;Upper East Side;(212-249-6778)
The Viceroy;;160 Eighth Ave;at 18th St;;Chelsea;(212-633-8484);American
The Volstead;;125 E 54th St;between Park and Lexington Aves;;Midtown East;(212-583-0411);American
The Water Club;;500 E 30th St;at FDR Drive;;Midtown East;(212-683-3333);Seafood
The Waverly Inn;;16 Bank St;at Waverly Pl;;West Village;(212-243-7900);American
The West Branch;;2178 Broadway;at 77th St;;Upper West Side;(212-777-6764);Eclectic
The Yard;SoHo Grand Hotel;;310 West Broadway;between Canal and Grand Sts;Soho;(212-965-3000);American
Think Coffee;;1 Bleecker St;at Bowery;;East Village;(212-533-3366);Cafés & diners
Think Coffee;;248 Mercer St;at 3rd St;;East Village;(212-228-6226);Cafés & diners
Thor;Hotel on Rivington;;107 Rivington St;between Essex and Ludlow Sts;Lower East Side;(646-253-6700);American
Three Tarts Bakery + Boutique;164 Ninth Ave;;;;;;
Three of Cups;;83 First Ave;at 5th St;;East Village;(212-388-0059);Italian
Tia Pol;;205 Tenth Ave;between 22nd and 23rd Sts;;Chelsea;(212-675-8805);Spanish
Tides;;102 Norfolk St;at Delancey St;;Lower East Side;(212-254-8855);Seafood
Tiengarden;;170 Allen St;between Rivington and Stanton Sts;;Lower East Side;(212-388-1364);Vegetarian & Organic
Tiffin Wallah;;127 E 28th St;at Lexington Ave;;Gramercy/Flatiron;(212-685-7301);Indian
Tigerland;;85 Ave A;between 5th and 6th Sts;;East Village;(212-477-9887);Asian: Pan-Asian
